Timestamp,Informed Consent,What is your age group?,What is your gender?,Which of these best describes your family structure during most of your upbringing (until age 18)?,What is your birth order among your siblings?,What was the marital status of your parents during most of your upbringing?,How would you rate the quality of communication between you and your mother?,Perceived Parenting Style (Mother) [She respected my opinions and encouraged me to share them.],Perceived Parenting Style (Mother) [She had strict rules and expected me to obey without question.],Perceived Parenting Style (Mother) [She set clear rules for my behaviour but was also warm and loving.],Perceived Parenting Style (Mother) [She often seemed unaware of what was happening in my life.],Perceived Parenting Style (Mother) [She acted more like a friend than a parent.],Perceived Parenting Style (Mother) [The punishment for breaking a rule was often harsh.],Perceived Parenting Style (Mother) [She was rarely involved in my school or social life.],Perceived Parenting Style (Mother) [She allowed me to make my own decisions with little guidance.],"How much academic or career pressure (e.g., to pursue medicine, engineering) did you feel from your mother?",How would you rate the quality of communication between you and your father?,"How much academic or career pressure (e.g., to pursue medicine, engineering) did you feel from your father?",Perceived Parenting Style (Father) [He respected my opinions and encouraged me to share them.],Perceived Parenting Style (Father) [He had strict rules and expected me to obey without question.],Perceived Parenting Style (Father) [He set clear rules for my behaviour but was also warm and loving.],Perceived Parenting Style (Father) [He often seemed unaware of what was happening in my life.],Perceived Parenting Style (Father) [He acted more like a friend than a parent.],Perceived Parenting Style (Father) [The punishment for breaking a rule was often harsh.],Perceived Parenting Style (Father) [He was rarely involved in my school or social life.],Perceived Parenting Style (Father) [He allowed me to make my own decisions with little guidance.],"Overall, how would you describe the level of emotional support you received from your parents during your upbringing?","During your teenage years, what was your general level of stress related to family and academic expectations?","Thinking back, how satisfied were you with your relationship with your parents during your teenage years?","[Open-Ended Reflection] In a few sentences, could you describe one aspect of your relationship with your parents that you valued the most?","[Open-Ended Reflection] In a few sentences, could you describe a common challenge or point of conflict you faced with your parents?",Therapeutic Formulation (Formatted),Therapeutic Focus Labels,Therapeutic Domains
2025-09-30 01:06:05,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am a middle child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Low,Moderate,3,My mother always supported me in many ways but sometimes she became obstinate and didn't listen no matter what good thing we are trying to tell her to improve herself...same thing is with my father and I have given up on him so no comments,They always argue...don't understand...like if anybody trys to prove them something or make them understand or realize something...they will do whatever they think what's right no matter how anybody persuades them,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-10-02 00:02:49,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Single-Parent Family: (Lived with only one parent),I am a middle child.,Separated / Divorced,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,High Pressure: My career path felt strictly defined by his expectations.,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,High,Moderate,4,Openness to talk,social life,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-10-02 00:14:15,"I Agree, and I wish to proceed with the survey.",Adolescent (13-19 years old),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very High,Low,5,"Perfect, I'd say. More people deserve that for their mental sanity","Can't recall one at the time being, sorry",[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-10-27 04:01:23,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am a middle child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,High Pressure: My career path felt strictly defined by his expectations.,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,High,Very High,2,"To listen my point of view, knowing my likes and dislikes , providing what was necessary ","Decision of freedom, less communication on decision making     ",[Parenting Style] Overprotective / Enmeshing Parenting; [Schema] Unrelenting Standards Schema,"Overprotective / Enmeshing Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-10-27 21:09:03,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Single-Parent Family: (Lived with only one parent),I am the firstborn/oldest child.,Separated / Divorced,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Moderate Pressure: She had strong preferences but was open to discussion.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Moderate,Moderate,3,"Tried a lot to be with my parents but could not and now I am alone
",They do not listen to either putting blame on each other,[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-11-09 07:52:50,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,High Pressure: My career path felt strictly defined by her expectations.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Moderate,Very High,1,,,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-12 09:19:02,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Moderate Pressure: She had strong preferences but was open to discussion.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,High Pressure: My career path felt strictly defined by his expectations.,Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,High,High,4,,,[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-11-18 05:52:17,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,High,High,3,They supported me in every possible way.,"The challenge was me opening up to them, especially my father. ",[Parenting Style] Authoritarian Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-18 06:57:25,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Very High,Low,5,,,[Attachment Profile] Anxious Attachment,Anxious Attachment,Attachment Profile
2025-11-18 07:01:19,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Moderate Pressure: She had strong preferences but was open to discussion.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Very High,High,4,They are my friends as well as parents!,There is not much but i think there was not much appreciation for academic Results. It is like it was expected for to get good results not the other way around. That's all.,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-18 07:37:03,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Moderate Pressure: She had strong preferences but was open to discussion.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,High Pressure: My career path felt strictly defined by his expectations.,Neutral,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Disagree,High,Very High,3,"The value to them to give attention, doesn't matter of its micro monitoring but at least they were everywhere in my life till my teenage then i had to took up space for myself.","They always wanted me to obey them, listen them doesn't matter if they're wrong or right. it was more of an ego issue for them like they make it feel like that we are their property somehow.",[Parenting Style] Authoritarian Parenting; [Parenting Style] Overprotective / Enmeshing Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Overprotective / Enmeshing Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-22 11:17:47,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Agree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,High Pressure: My career path felt strictly defined by her expectations.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Moderate,High,4,,,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-24 09:26:03,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Intact Marriage (Parents were married and living together),Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Disagree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Moderate Pressure: She had strong preferences but was open to discussion.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Moderate Pressure: He had strong preferences but was open to discussion.,Agree,Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Low,High,2,i really valued that they have always provided for me financially and taught me to protect myself even if they werenâ_x0080__x0099_t present.,"The most common challenge is for my mom to listen and see where i come from, not just blaming or projecting.",[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-24 13:00:14,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Moderate Pressure: She had strong preferences but was open to discussion.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Moderate,Moderate,3,,,[Attachment Profile] Anxious Attachment,Anxious Attachment,Attachment Profile
2025-11-28 10:44:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents only),Only Child,Widowed,Excellent,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Very Low,Neutral,Moderate,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Poor,High,Dissatisfied,I valued how they listened even when they didn’t agree. It made me feel seen.,They expected me to follow their plans rather than choosing what I wanted.,[Schema] Subjugation Schema,Subjugation Schema,Schema
2025-10-03 01:55:00,"I Agree, and I wish to proceed with the survey.",Teenager (13–19),Female,Nuclear Family: (Lived with one or both parents only),Oldest,Separated/Divorced,Excellent,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Very High,Poor,High,Neutral,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Excellent,Very High,Neutral,"My mother always comforted me when I was anxious, she made me feel safe.",My father never expressed emotions so I never learned how to share mine.,[Attachment Profile] Anxious Attachment; [Emotional Processing] Suppressed Emotional Expression,"Anxious Attachment, Suppressed Emotional Expression","Attachment Profile, Emotional Processing"
2025-11-11 22:45:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents only),Middle,Widowed,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Low,Poor,Very Low,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,Poor,Very Low,Satisfied,They encouraged independence which helped me grow a lot.,"They compared me to cousins often, which made me doubt myself.",[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-10-12 18:37:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Oldest,Married,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Moderate,Excellent,Very High,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Moderate,Very Satisfied,I appreciated that they tried to understand my feelings when I opened up.,They would shut down conversations when I tried to express disagreement.,[Attachment Profile] Avoidant Attachment,Avoidant Attachment,Attachment Profile
2025-11-10 14:11:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Oldest,Married,Good,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Very High,Neutral,High,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Poor,Moderate,Satisfied,They created a warm home environment which helped me feel stable.,They pressured me academically which created constant stress.,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-28 18:52:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents only),Middle,Widowed,Good,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Very High,Very Poor,Low,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Good,Very Low,Very Dissatisfied,I liked that they treated me with respect even when disciplining me.,They interfered a lot in my decisions which made me feel controlled.,[Parenting Style] Authoritarian Parenting; [Parenting Style] Overprotective / Enmeshing Parenting,"Authoritarian Parenting, Overprotective / Enmeshing Parenting",Parenting Style
2025-11-06 13:06:00,"I Agree, and I wish to proceed with the survey.",Teenager (13–19),Male,Nuclear Family: (Lived with one or both parents only),Youngest,Separated/Divorced,Neutral,Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Very Low,Excellent,High,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Poor,Very High,Neutral,They encouraged creativity and supported my hobbies.,They never apologized even when they were wrong.,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-10-24 14:04:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Only Child,Separated/Divorced,Excellent,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Moderate,Good,High,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Excellent,Moderate,Very Dissatisfied,They made me feel emotionally supported when I struggled.,"They rarely noticed when I was upset, I felt invisible.",[Parenting Style] Detached / Emotionally Unavailable Parenting,Detached / Emotionally Unavailable Parenting,Parenting Style
2025-11-22 16:31:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents only),Only Child,Separated/Divorced,Poor,Disagree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Agree,High,Very Poor,High,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Poor,Very Low,Very Dissatisfied,They protected me in a way that made me feel secure.,They expected me to take responsibility for their emotional needs.,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Parenting Style] Overprotective / Enmeshing Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Overprotective / Enmeshing Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-11 03:22:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Middle,Separated/Divorced,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Very High,Very Poor,Low,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Poor,Moderate,Neutral,They celebrated small achievements and made me feel valued.,"They could be unpredictable sometimes, which confused me.",[Attachment Profile] Disorganized Attachment,Disorganized Attachment,Attachment Profile
2025-11-24 21:53:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents only),Only Child,Separated/Divorced,Good,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Disagree,High,Poor,High,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Disagree,Neutral,Low,Very Satisfied,I enjoyed spending time with them because they were kind and affectionate.,They avoided conflict so we never addressed real issues.,[Emotional Processing] Conflict Avoidance Conditioning,Conflict Avoidance Conditioning,Emotional Processing
2025-10-31 11:13:00,"I Agree, and I wish to proceed with the survey.",Teenager (13–19),Female,Nuclear Family: (Lived with one or both parents only),Youngest,Widowed,Very Poor,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Moderate,Very Poor,Very High,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Good,Low,Very Satisfied,They tried their best to provide a good life for me.,They didn’t understand my personality and often dismissed my interests.,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-10-21 00:46:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Middle,Separated/Divorced,Good,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Moderate,Excellent,High,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Good,Very High,Very Satisfied,My parents respected my boundaries and treated me maturely.,They didn’t let me make decisions for myself which harmed my confidence.,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Parenting Style] Overprotective / Enmeshing Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Overprotective / Enmeshing Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-28 10:25:00,"I Agree, and I wish to proceed with the survey.",Teenager (13–19),Male,Nuclear Family: (Lived with one or both parents only),Middle,Separated/Divorced,Poor,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very High,Neutral,Moderate,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Low,Very Satisfied,They trusted me which helped me trust myself.,They relied on me to solve adult problems which stressed me out.,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Parenting Style] Overprotective / Enmeshing Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Overprotective / Enmeshing Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-11-21 20:58:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Middle,Separated/Divorced,Good,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Moderate,Excellent,Very High,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Agree,Excellent,Very High,Satisfied,They were patient and explained things kindly.,They were emotionally distant when I needed support.,[Attachment Profile] Avoidant Attachment; [Parenting Style] Detached / Emotionally Unavailable Parenting,"Avoidant Attachment, Detached / Emotionally Unavailable Parenting","Attachment Profile, Parenting Style"
2025-10-28 21:23:00,"I Agree, and I wish to proceed with the survey.",Teenager (13–19),Female,Nuclear Family: (Lived with one or both parents only),Youngest,Widowed,Very Poor,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,High,Neutral,High,Strongly Disagree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Good,Very High,Satisfied,They allowed me to explore who I am.,Arguments would escalate quickly because no one knew how to communicate.,[Attachment Profile] Anxious Attachment; [Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Anxious Attachment, Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Attachment Profile, Parenting Style, Schema"
2025-09-28 06:15:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Oldest,Married,Poor,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Very High,Good,Very High,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Very Poor,Very Low,Satisfied,They comforted me when I failed and encouraged me to try again.,They believed discipline meant being harsh and strict.,[Parenting Style] Authoritarian Parenting,Authoritarian Parenting,Parenting Style
2025-11-16 00:14:00,"I Agree, and I wish to proceed with the survey.",Teenager (13–19),Female,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Youngest,Separated/Divorced,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Agree,Low,Neutral,Very Low,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Good,Very Low,Satisfied,They always included me in decisions about my future.,They repeated the same harsh patterns they grew up with.,[Family System] Intergenerational Trauma Pattern,Intergenerational Trauma Pattern,Family System
2025-11-19 00:43:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, and/or relatives)",Middle,Married,Excellent,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,High,Good,Very Low,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Excellent,Low,Very Dissatisfied,They helped me think about life with a positive mindset.,They compared me to my siblings which created insecurity.,[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-11-24 19:00:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents only),Middle,Married,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Agree,High,Very Poor,Low,Disagree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Excellent,Moderate,Dissatisfied,They taught me emotional awareness and empathy.,I felt rejected when they didn’t validate my struggles.,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
